td, id, tj, df, dd, db
554, 2429, 551, 1, 2, 3
554, 2430, 551, 1, 2, 3
555, 2427, 550, 1, 4, 5
555, 2428, 550, 1, 4, 5
555, 329, 531, Never attacked, Never attacked, 24
555, 260, 417, 87, 51, 138
555, 264, 426, 85, 44, 129
555, 328, 528, Never attacked, Never attacked, 27
555, 276, 443, 93, 19, 112
555, 349, 554, Never attacked, Never attacked, 1
555, 347, 552, 1, 2, 3
555, 348, 553, 1, 1, 2
556, 345, 550, 1, 5, 6
557, 2418, 542, 1, 14, 15
558, 2422, 546, 1, 11, 12
559, 2433, 553, 1, 5, 6
560, 2434, 554, 1, 5, 6
563, 2436, 558, 1, 4, 5
566, 2439, 561, 1, 4, 5
567, 283, 454, 86, 27, 113
567, 341, 546, Never attacked, Never attacked, 21
567, 273, 440, 96, 31, 127
567, 279, 450, 86, 31, 117
567, 228, 369, 80, 118, 198
567, 232, 375, 84, 108, 192
567, 240, 387, 83, 97, 180
567, 226, 367, 68, 132, 200
567, 356, 564, 1, 2, 3
567, 350, 557, 1, 9, 10
568, 246, 396, 90, 82, 172
568, 250, 404, 84, 80, 164
568, 243, 391, 92, 85, 177
568, 244, 393, 90, 85, 175
568, 252, 407, 92, 69, 161
568, 268, 432, 83, 53, 136
568, 272, 438, 94, 36, 130
568, 270, 434, 86, 48, 134
569, 215, 351, 67, 151, 218
569, 175, 274, 68, 227, 295
569, 186, 298, 69, 202, 271
569, 181, 288, 64, 217, 281
569, 204, 325, 74, 170, 244
569, 182, 291, 62, 216, 278
569, 196, 313, 62, 194, 256
569, 213, 349, 50, 170, 220
570, 201, 322, 75, 173, 248
570, 214, 350, 64, 156, 220
570, 227, 368, 70, 132, 202
570, 248, 401, 85, 84, 169
570, 238, 385, 83, 102, 185
570, 253, 408, 95, 67, 162
570, 154, 240, Never attacked, Never attacked, 330
570, 177, 278, 1, 291, 292
571, 2435, 557, 1, 13, 14
571, 184, 293, Never attacked, Never attacked, 278
571, 185, 294, Never attacked, Never attacked, 277
571, 198, 316, 12, 243, 255
571, 230, 373, Never attacked, Never attacked, 198
571, 262, 420, 1, 150, 151
571, 266, 430, 1, 140, 141
571, 257, 412, 3, 156, 159
571, 249, 403, 12, 156, 168
572, 2437, 559, 1, 12, 13
572, 278, 447, 1, 124, 125
572, 236, 381, 72, 119, 191
572, 231, 374, 5, 193, 198
572, 282, 453, 1, 118, 119
572, 293, 470, 1, 101, 102
572, 288, 465, 3, 104, 107
572, 309, 493, Never attacked, Never attacked, 79
572, 357, 566, Never attacked, Never attacked, 6
573, 2438, 560, 1, 12, 13
573, 323, 519, Never attacked, Never attacked, 54
573, 327, 527, Never attacked, Never attacked, 46
573, 361, 572, Never attacked, Never attacked, 1
574, 2440, 562, 1, 11, 12
575, 2441, 564, 1, 10, 11
577, 2445, 572, 1, 4, 5
578, 2443, 567, 1, 10, 11
578, 363, 573, Never attacked, Never attacked, 5
580, 2457, 579, 1, 0, 1
581, 370, 580, Never attacked, Never attacked, 1
582, 2444, 570, 1, 11, 12
583, 2456, 578, 1, 4, 5
583, 2442, 566, 1, 16, 17
583, 2454, 577, 5, 1, 6
583, 2455, 577, 5, 1, 6
584, 2460, 581, 1, 2, 3
585, 2448, 574, 10, 1, 11
585, 2449, 574, 10, 1, 11
585, 2448, 574, 10, 1, 11
585, 2449, 574, 10, 1, 11
591, 2419, 543, 1, 47, 48
591, 2419, 543, 1, 47, 48
591, 2420, 543, 1, 47, 48
595, 2464, 587, 1, 7, 8
596, 2463, 586, 1, 9, 10
597, 2465, 588, 1, 8, 9
600, 2413, 537, 1, 62, 63
598, 2468, 591, 1, 6, 7
598, 2472, 597, 1, 0, 1
600, 2413, 537, 1, 62, 63
599, 2469, 595, 1, 3, 4
600, 2413, 537, 1, 62, 63
600, 2413, 537, 1, 62, 63
601, 2476, 600, 1, 0, 1
604, 378, 590, Never attacked, Never attacked, 14
604, 294, 471, 86, 47, 133
604, 296, 473, 85, 46, 131
604, 301, 480, 92, 32, 124
604, 386, 603, Never attacked, Never attacked, 1
608, 2477, 603, 1, 4, 5
608, 2478, 603, 1, 4, 5
608, 2404, 524, 14, 70, 84
611, 2480, 610, 1, 0, 1
612, 2395, 513, 1, 98, 99
614, 2482, 613, 1, 0, 1
614, 2483, 613, 1, 0, 1
614, 2389, 500, 1, 113, 114
614, 389, 610, 1, 3, 4
614, 383, 598, 1, 15, 16
615, 2475, 599, 1, 15, 16
615, 373, 581, 1, 33, 34
615, 381, 596, 1, 18, 19
621, 2479, 608, 1, 12, 13
626, 395, 620, 1, 5, 6
628, 2481, 611, 1, 16, 17
628, 2489, 621, 1, 6, 7
628, 2488, 620, 1, 7, 8
630, 310, 494, 98, 38, 136
630, 319, 513, 91, 26, 117
630, 297, 474, 84, 72, 156
